Level1,Level3,Level2,Var
Suba,Sauco,37,25524
Suba,"Jazmín del cabo, laurel huesito",37,14789
Usme,Eucalipto común,36,14181
Rafael Uribe Uribe,Hayuelo,28,12823
Usme,"Acacia negra, gris",36,11234
Suba,"Ciprés, Pino ciprés, Pino",37,10672
San Cristóbal,Sauco,196,10515
Suba,Cucharo,37,9547
Suba,Arrayán blanco,37,9047
Usaquén,Sauco,38,9026
Usaquén,"Jazmín del cabo, laurel huesito",38,8470
Tunjuelito,"Acacia negra, gris",27,8432
Suba,Acacia japonesa,37,8123
Suba,Guayacán de Manizales,37,7826
Suba,Holly liso,37,7499
Engativá,Sauco,96,6943
Usme,Hayuelo,36,6676
Suba,"Chicalá, chirlobirlo, flor amarillo",37,6535
Suba,"Acacia negra, gris",37,6435
Suba,"Urapán, Fresno",37,6242
Kennedy,Sauco,138,6087
Suba,Eugenia,37,5859
Santa Fe,Tomatillo,164,5711
Suba,Corono,37,5432
Suba,"Acacia baracatinga, acacia sabanera, acacia nigra",37,5240
Suba,Tuno esmeraldo,37,5149
Kennedy,"Jazmín del cabo, laurel huesito",138,5048
Kennedy,Acacia japonesa,138,5036
Suba,"Aliso, fresno, chaquiro",37,4907
Usaquén,"Chicalá, chirlobirlo, flor amarillo",38,4868
Usaquén,Guayacán de Manizales,38,4831
Suba,Cerezo,37,4818
Santa Fe,Cordoncillo,164,4617
Kennedy,"Palma yuca, palmiche",138,4600
Suba,Sauce llorón,37,4510
Chapinero,"Urapán, Fresno",110,4495
Suba,Cayeno,37,4414
Barrios Unidos,"Acacia baracatinga, acacia sabanera, acacia nigra",8,4378
Engativá,"Jazmín del cabo, laurel huesito",96,4369
Santa Fe,"Acacia negra, gris",164,4337
Suba,"Palma yuca, palmiche",37,4231
Santa Fe,Tinto,164,4222
Usme,Tuno esmeraldo,36,4191
Kennedy,"Chicalá, chirlobirlo, flor amarillo",138,4092
Suba,Higuerillo,37,4038
Fontibón,Sauco,102,4019
Chapinero,Tomatillo,110,3985
Engativá,"Ciprés, Pino ciprés, Pino",96,3954
Chapinero,"Acacia negra, gris",110,3828
Teusaquillo,"Jazmín del cabo, laurel huesito",13,3803
Usaquén,"Acacia negra, gris",38,3744
Santa Fe,"Urapán, Fresno",164,3705
Kennedy,Holly liso,138,3640
Suba,Cucubo,37,3632
Suba,Acacia morada,37,3620
Kennedy,Falso pimiento,138,3509
Kennedy,"Urapán, Fresno",138,3506
Kennedy,"Ciprés, Pino ciprés, Pino",138,3492
Kennedy,Eugenia,138,3427
Usaquén,Acacia japonesa,38,3418
Kennedy,Cayeno,138,3369
Chapinero,Acacia japonesa,110,3362
Santa Fe,Acacia japonesa,164,3287
Kennedy,Caucho sabanero,138,3182
Bosa,"Buganbil, veranera",182,3178
Kennedy,"Acacia negra, gris",138,3150
Suba,Caucho sabanero,37,3103
Suba,Abutilón rojo y amarillo,37,3093
Engativá,Holly liso,96,3091
Engativá,"Chicalá, chirlobirlo, flor amarillo",96,3054
Usme,Mortiño,36,3020
Usaquén,"Ciprés, Pino ciprés, Pino",38,2964
Kennedy,Caucho benjamín,138,2961
Suba,"Caballero de la noche, Jazmín, Dama de noche.",37,2957
Engativá,Eugenia,96,2956
Fontibón,Acacia japonesa,102,2905
Suba,Caucho benjamín,37,2902
Barrios Unidos,"Urapán, Fresno",8,2893
Usaquén,"Urapán, Fresno",38,2873
Usaquén,Eugenia,38,2858
Engativá,"Acacia negra, gris",96,2830
Ciudad Bolívar,Hayuelo,193,2716
Ciudad Bolívar,"Acacia negra, gris",193,2711
Teusaquillo,"Urapán, Fresno",13,2710
Usme,Sauco,36,2661
Suba,"Liquidámbar, estoraque",37,2660
San Cristóbal,Acacia japonesa,196,2659
Santa Fe,Sauco,164,2603
Fontibón,"Jazmín del cabo, laurel huesito",102,2590
Engativá,"Palma yuca, palmiche",96,2559
Kennedy,"Acacia baracatinga, acacia sabanera, acacia nigra",138,2534
Teusaquillo,Sauco,13,2529
Kennedy,"Caballero de la noche, Jazmín, Dama de noche.",138,2472
Teusaquillo,Acacia japonesa,13,2472
Usme,Pino pátula,36,2469
Chapinero,Sauco,110,2465
Usaquén,"Cerezo, capuli",38,2455
Usaquén,"Palma yuca, palmiche",38,2439
Usaquén,Eucalipto común,38,2427
Teusaquillo,Roble,13,2423
Fontibón,"Urapán, Fresno",102,2421
Engativá,Cayeno,96,2390
Engativá,Guayacán de Manizales,96,2380
Engativá,Cerezo,96,2378
Puente Aranda,Sauco,16,2336
San Cristóbal,Cerezo,196,2331
Rafael Uribe Uribe,Corono,28,2327
Suba,Eucalipto común,37,2326
Chapinero,Tinto,110,2302
San Cristóbal,Eucalipto común,196,2296
Ciudad Bolívar,"Acacia baracatinga, acacia sabanera, acacia nigra",193,2280
Puente Aranda,"Urapán, Fresno",16,2264
Chapinero,"Jazmín del cabo, laurel huesito",110,2263
Usme,"Buganbil, veranera",212,2257
Tunjuelito,"Acacia baracatinga, acacia sabanera, acacia nigra",27,2249
Usaquén,Holly liso,38,2217
Usme,Corono,36,2212
Suba,Araucaria,37,2192
Suba,"Cajeto, garagay, urapo",37,2186
Engativá,"Acacia baracatinga, acacia sabanera, acacia nigra",96,2165
Kennedy,Cerezo,138,2162
Fontibón,"Acacia baracatinga, acacia sabanera, acacia nigra",102,2150
Engativá,"Caballero de la noche, Jazmín, Dama de noche.",96,2146
Kennedy,Araucaria,138,2128
Kennedy,Guayacán de Manizales,138,2128
Engativá,Caucho sabanero,96,2126
Suba,Tuno roso,37,2124
Tunjuelito,Eucalipto común,27,2120
Rafael Uribe Uribe,"Buganbil, veranera",35,2082
Puente Aranda,"Jazmín del cabo, laurel huesito",16,2050
Engativá,Caucho benjamín,96,2027
Usaquén,"Acacia baracatinga, acacia sabanera, acacia nigra",38,2022
Rafael Uribe Uribe,Salvio negro,28,1969
Usme,Salvio negro,36,1965
Fontibón,"Ciprés, Pino ciprés, Pino",102,1960
Usme,Arrayán blanco,36,1958
Suba,Tomatillo,37,1942
Suba,Roble,37,1923
Usaquén,Caucho benjamín,38,1915
Suba,Alcaparro doble,37,1904
Usaquén,Sauce llorón,38,1896
Santa Fe,Fucsia,164,1893
San Cristóbal,"Acacia baracatinga, acacia sabanera, acacia nigra",196,1884
Ciudad Bolívar,Sauco,193,1883
Chapinero,Fucsia,110,1878
Teusaquillo,"Cerezo, capuli",13,1878
San Cristóbal,Holly liso,196,1876
Santa Fe,Arboloco,164,1868
Engativá,Acacia japonesa,96,1845
Ciudad Bolívar,Holly liso,193,1840
Usme,"Aliso, fresno, chaquiro",36,1839
Rafael Uribe Uribe,Sauco,28,1824
Usaquén,NN,38,1819
Engativá,"Urapán, Fresno",96,1812
Teusaquillo,Caucho sabanero,13,1780
Rafael Uribe Uribe,Cucharo,28,1780
Suba,Pino libro,37,1746
Rafael Uribe Uribe,Arrayán blanco,28,1741
Usme,"Espino, Garbancillo",36,1735
Barrios Unidos,"Acacia negra, gris",8,1728
Suba,Mano de oso,37,1718
Kennedy,Eucalipto común,138,1693
Usaquén,Acacia morada,38,1683
San Cristóbal,"Ciprés, Pino ciprés, Pino",196,1669
Rafael Uribe Uribe,Tuno roso,28,1640
Engativá,Araucaria,96,1633
Rafael Uribe Uribe,Eucalipto común,28,1614
Puente Aranda,Caucho benjamín,16,1611
Teusaquillo,Holly liso,13,1606
Puente Aranda,Caucho sabanero,16,1603
San Cristóbal,Salvio negro,196,1595
Suba,Sietecueros nazareno,37,1593
Santa Fe,"Caballero de la noche, Jazmín, Dama de noche.",164,1592
Rafael Uribe Uribe,Holly liso,28,1582
Usaquén,"Aliso, fresno, chaquiro",38,1581
San Cristóbal,"Acacia negra, gris",196,1579
Fontibón,Eugenia,102,1571
Tunjuelito,Caucho sabanero,27,1561
Usme,Cucharo,36,1532
Usme,Tominejero,36,1526
Bosa,Caucho sabanero,147,1524
Ciudad Bolívar,Caucho sabanero,193,1520
Santa Fe,Caballero de la noche,164,1512
Usaquén,Cayeno,38,1491
Bosa,Falso pimiento,147,1483
Usme,Tuno roso,36,1469
Teusaquillo,NN,13,1469
San Cristóbal,"Urapán, Fresno",196,1450
Ciudad Bolívar,Jazmín de la china,193,1447
Suba,"Sangregao, drago, croto",37,1437
Ciudad Bolívar,"Chicalá, chirlobirlo, flor amarillo",193,1432
Suba,Crucito,37,1430
Puente Aranda,"Palma yuca, palmiche",16,1419
Kennedy,Pino libro,138,1402
Puente Aranda,Falso pimiento,16,1377
Suba,"Cedro, cedro andino, cedro clavel",37,1370
Ciudad Bolívar,Acacia japonesa,193,1337
Usaquén,Higuerillo,38,1336
Teusaquillo,Caucho benjamín,13,1336
Engativá,"Aliso, fresno, chaquiro",96,1332
Tunjuelito,Holly liso,27,1328
Engativá,Eucalipto común,96,1324
Santa Fe,"Ciprés, Pino ciprés, Pino",164,1321
Usaquén,Caucho sabanero,38,1313
Puente Aranda,Holly liso,16,1306
Usme,"Buganbil, veranera",217,1300
Bosa,Holly liso,147,1299
San Cristóbal,"Jazmín del cabo, laurel huesito",196,1295
San Cristóbal,"Aliso, fresno, chaquiro",196,1291
Rafael Uribe Uribe,"Urapán, Fresno",28,1290
Suba,"Eucalipto de flor, eucalipto lavabotella, Calistemo",37,1285
Puente Aranda,Eugenia,16,1285
Chapinero,Cordoncillo,110,1284
Santa Fe,Eucalipto común,164,1281
Usaquén,Arrayán blanco,38,1280
Puente Aranda,Cayeno,16,1273
Usaquén,Pino pátula,38,1270
Chapinero,"Cerezo, capuli",110,1268
Suba,"Espino, Garbancillo",37,1267
Suba,Pino pátula,37,1263
Suba,"Pino colombiano, pino de pacho, pino romerón",37,1260
Teusaquillo,Guayacán de Manizales,13,1259
Bosa,Sauco,147,1253
Suba,Garrocho,37,1215
Usaquén,"Liquidámbar, estoraque",38,1206
Barrios Unidos,Sauco,8,1195
Kennedy,Durazno comun,138,1192
Usme,"Raque, San juanito",36,1183
Kennedy,"Eucalipto de flor, eucalipto lavabotella, Calistemo",138,1181
Teusaquillo,"Aliso, fresno, chaquiro",13,1178
