x,y,z
93411.879,105943.129,37.9426726
94574.46,103712.699,33.2568565
98188.378,91523.391,12.5
102525.326,116477.654,13
97550.352,91365.905,19.1046573
97149.239,93916.647,21.3622069
104279.265,123992.221,19.8293179
95568.909,107692.187,14
102195.721,110902.818,36.7978942
101722.587,113354.086,115.9713483
101845.798,103226.232,30.0243677
95758.598,107936.292,17.6948705
99704.855,106831.442,10
91775.248,103115.002,65.1961476
98585.901,96806.945,15.5
99709.346,107308.501,40.5016951
104217.1,110480.555,97.9640466
103566.7,107338.227,75.0324187
91906.1838,104747.9761,9
102936.997,115682.514,12.2
101920.8639,117238.7369,23.5180698
91859.855,101696.263,17
100539.815,103547.093,11.1
98246.966,107286.855,53.7476258
100353.023,117269.783,44.5129826
96946.727,107853.133,11.2
104864.8939,114784.5447,12
92201.131,97774.209,28.2396151
101150.631,111015.988,17.379549
100952.652,99382.221,15
102013.603,100612.7,39.4953415
97084.287,117075.464,24.5873104
92620.1915,105725.7022,9
97071.918,87823.198,13
90949.206,101283.672,40.7195172
103347.656,108007.921,50.6569267
100720.979,111270.197,52.4082552
91396.213,100831.098,7
95537.103,108524.6695,15
102764.668,108412.669,66.04
97935.898,93297.878,16.5
101038.188,103218.918,21.2395313
102881.3632,111093.4528,88.6478953
96637.39,100411.097,187.0884598
100562.696,111323.256,38.093665
97954.314,93533.11,21.2927072
100865.2071,111821.4206,17
93910.86,107640.288,26.0282174
92522.681,104781.14,28.2276734
89394.148,99709.381,46.6484785
98890.493,95061.834,89.5346152
92293.0757,104855.3206,14
97197.537,97516.29,56.2410666
98503.432,94123.892,12
100824.247,101748.007,30.2375184
100954.102,117534.754,20.7656313
96643.254,93087.654,36.7978942
97212.763,113049.111,48.841372
94085.9335,105150.2324,132.6603371
96801.228,95051.546,12.4
101202.77,106252.77,26.8790167
101438.511,112999.689,23.6990427
105338.851,116049.06,69.4849886
95491.887,106607.406,15
97130.671,116802.818,33.9407914
99457.256,113344.337,32.1644033
92639.0823,105061.6976,17
101130.72,118939.287,23.1164751
103234.584,118642.436,34.6302287
97048.398,94605.073,38.0094572
99555.926,106886.331,18.301117
95859.25,113541.963,42.6059675
95992.525,100369.533,37.9151656
97858.574,93432.856,9.5
99545.165,113446,34.3576758
97269.4301,117121.4391,21.0556502
94110.886,100392.667,15.5
105413.092,113735.916,30.7646079
95233.8066,90717.2126,14
95498.383,89319.044,11
99452.23,113337.047,13
97981.636,104698.75,66.5128089
96240.873,98948.339,14
92735.026,113949.595,76.8802429
91739.945,98795.249,263.1019448
102932.233,111277.845,10
93849.921,112909.415,17
98131.149,111788.247,42.5318686
101579.286,102849.801,15
99700.225,113210.829,12.1
101069.643,99600.686,24.3229995
97832.22,107322.372,32.3319195
99567.214,110985.381,7.5
105059.972,117872.786,12
103342.386,108149.671,65.8997396
96728.619,110423.272,17.6727666
93119.2167,104538.8032,9
99509.524,106916.68,42.3644814
103485.3918,118812.529,50.3020546
106000.443,117903.517,40.8549928
92533.673,102632.133,57.5809327
97307.75,91598.249,147.4922338
98018.546,93286.818,15
101642.249,114752.887,46.777335
105703.9768,114291.0319,59.901628
104075.3603,120258.5047,22.2849798
92096.061,100695.464,15.9
101006.9638,110515.795,123.9513208
104099.1708,117920.9203,17
105490.977,110452.558,21.2243475
90680.751,98166.631,12
100877.454,112331.022,24.8727816
98424.736,106281.75,83.8196898
104422.496,117153.55,19.3911448
95660.885,112934.28,14
98603.307,97175.985,77.8471526
95896.03,91506.205,243.3705141
99862.72,103867.003,60.502524
99697.968,113454.368,77.8481206
96605.164,107969.711,20.1204674
91947.61,97528.312,16.8
95566.875,99451.18,15
87423.366,100619.164,11.5
97901.683,93444.777,17
101536.862,115344.73,164.6798883
96146.7686,118015.8418,24.7556926
103081.724,110405.835,81.6254073
93967.6,102799.744,19.2278799
101687.055,117485.973,12
97109.633,95787.127,9.7
96026.171,88436.105,19.2320533
96603.353,111175.347,12.7
96830.184,100075.444,28.712385
96559.7081,88154.29609999,8.2
97604.579,92214.282,11
102094.207,108372.568,31.2
102253.175,110313.067,15
95107.438,89657.37,11
91204.538,105719.012,11
100918.37,117387.935,31.6768881
101856.895,113696.641,29.9193603
105761.404,118242.412,24.1028831
98705.122,104924.3,51.1687196
105875.583,117636.111,77.3018426
98090.486,110669.437,77.1406056
101726.31,102995.21,37.5619211
100573.482,100652.771,203.1176452
99234.565,110566.994,16
95540.905,101686.674,17
99572.901,113481.455,27.7529342
